default,0.0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.50,13.89
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5
-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
+0.0,+0.0,+0.0,+0.0,+0.0,+0.0,+0.0,+0.0,+0.0,+0.0,+0.0,+0.0
+0.5,+0.5,+0.5,+0.5,+0.5,+0.5,+0.5,+0.5,+0.5,+0.5,+0.5,+0.5
+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0
+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5
+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0